image_name,BoxesString
000720.png,92 3 110 17
002324.png,89 92 104 108
006160.png,32 5 42 15
009474.png,34 59 47 72
008182.png,111 26 125 44
005361.png,96 99 109 111
000394.png,23 93 34 104
009337.png,47 70 64 84
000483.png,84 110 101 126
008260.png,7 41 21 53
003041.png,75 12 85 22
003561.png,41 79 51 90
006954.png,13 3 27 17
004772.png,106 53 119 67
007538.png,5 41 15 51
006637.png,41 61 58 76
003001.png,14 6 31 23
004232.png,59 26 78 42
007954.png,57 55 69 67
001034.png,80 30 92 45
006743.png,31 53 43 64
004020.png,111 5 121 15
002932.png,84 79 96 91
009665.png,78 103 92 119
002692.png,12 47 25 60
008047.png,80 63 95 78
001833.png,113 67 123 77
005435.png,43 2 59 18
004168.png,54 23 65 33
002733.png,96 4 109 16
003543.png,91 96 106 110
006115.png,85 26 99 40
003789.png,10 110 25 126
001633.png,21 49 34 65
007571.png,5 72 15 82
002081.png,95 4 109 16
005545.png,29 50 40 60
007648.png,19 8 33 24
008362.png,81 76 95 91
006957.png,113 24 123 34
009561.png,34 52 46 65
005097.png,13 36 25 48
007636.png,108 93 118 103
005861.png,5 107 15 117
008364.png,20 94 39 113
004625.png,56 76 72 93
005759.png,100 111 115 125
009855.png,37 62 53 79
004294.png,89 93 100 103
001415.png,109 32 122 45
002641.png,70 112 81 124
000067.png,88 97 103 116
006894.png,24 31 35 43
000431.png,87 37 102 51
001068.png,30 65 47 82
008390.png,113 43 123 53
007022.png,87 31 101 43
005820.png,112 66 124 79
003704.png,62 107 81 127
004474.png,104 83 120 99
008482.png,6 111 21 125
007513.png,25 7 37 20
004951.png,101 3 121 24
003313.png,56 111 69 125
007967.png,75 54 88 68
008487.png,66 8 81 21
006842.png,59 79 71 91
007412.png,32 71 43 81
004866.png,85 45 96 56
006442.png,109 102 127 116
006176.png,5 58 15 69
000363.png,65 29 75 40
004177.png,83 9 95 20
008551.png,78 8 92 24
001995.png,112 55 124 67
006785.png,64 91 79 106
009936.png,43 0 55 7;15 15 33 27;0 74 12 84
002510.png,93 74 108 90
009527.png,79 112 92 124
000713.png,91 35 102 46
005477.png,32 106 45 120
004760.png,4 17 21 35
006904.png,12 91 26 107
001901.png,43 46 57 60
005930.png,111 107 125 123
002865.png,44 46 61 61
001419.png,86 10 97 22
005604.png,75 92 85 102
007383.png,74 36 84 46
006028.png,23 28 41 44
000551.png,108 55 128 76
009840.png,64 4 76 16
005106.png,67 30 82 45
006731.png,43 112 53 124
008005.png,68 83 78 93
006302.png,58 96 75 113
005078.png,109 32 126 47
002117.png,5 16 15 28
000128.png,9 45 24 57
001274.png,81 105 91 116
005917.png,104 75 114 85
008867.png,113 4 123 16
004071.png,110 15 124 31
005689.png,111 46 125 64
008459.png,94 70 108 86
005559.png,52 38 71 54
007369.png,9 78 19 88
004679.png,110 86 123 102
007714.png,51 7 67 21
002605.png,3 76 17 91
005380.png,14 112 26 124
003394.png,3 22 17 34
009799.png,56 13 70 26
007876.png,8 4 21 16
005091.png,64 55 83 73
002652.png,43 77 54 89
007002.png,1 18 19 33
008961.png,93 19 104 30
001509.png,22 103 35 114
009214.png,110 55 126 75
006709.png,4 30 16 41
005964.png,19 78 40 95
004761.png,40 13 59 29
004078.png,9 3 21 17
004901.png,30 22 46 39
002483.png,10 26 22 39
007348.png,40 6 58 23
001205.png,98 88 113 104
009653.png,92 33 109 49
008797.png,40 7 50 19
002291.png,75 6 90 18
001332.png,93 32 104 43
008536.png,110 108 126 123
006354.png,49 57 71 76
009713.png,73 109 89 127
005889.png,112 102 124 114
002864.png,2 28 18 46
005681.png,18 13 28 23
003483.png,65 5 76 15
000078.png,61 14 73 25
009338.png,78 4 92 19
005404.png,60 47 73 62
004618.png,111 47 125 63
000151.png,29 1 46 19
009809.png,2 22 18 38
004710.png,21 32 32 43
001746.png,4 79 16 92
003737.png,3 106 17 121
007884.png,107 35 128 51
004288.png,32 89 48 109
002370.png,90 44 105 62
001075.png,94 60 113 80
007164.png,28 64 42 79
000626.png,87 93 102 109
002765.png,8 5 18 15
007247.png,112 51 124 63
006232.png,84 56 98 70
003714.png,94 56 107 71
004384.png,23 35 38 49
001445.png,5 87 15 97
002715.png,24 65 37 78
000481.png,47 103 60 117
003443.png,112 10 124 22
004056.png,81 75 97 90
004854.png,111 28 122 40
005851.png,36 108 52 128
007528.png,69 84 84 97
003430.png,55 2 71 18
006221.png,5 87 22 102
001619.png,90 67 103 80
007536.png,53 59 63 69
004339.png,42 111 55 125
006110.png,97 53 111 68
009776.png,25 5 39 19
007699.png,50 112 64 124
002949.png,3 4 17 16
000534.png,91 33 102 44
005184.png,91 104 108 120
003147.png,36 2 50 18
006956.png,76 104 88 116
005359.png,49 2 63 18
006157.png,13 3 25 17
008414.png,108 109 123 123
003232.png,12 35 27 50
009934.png,78 0 92 12;101 81 115 95;51 87 59 97
005332.png,23 29 42 46
006728.png,2 110 18 126
001754.png,40 39 61 57
004978.png,5 103 15 114
000137.png,111 30 125 42
002174.png,49 95 60 105
005676.png,50 12 60 22
001090.png,112 3 124 17
000223.png,40 44 51 55
000646.png,68 17 83 29
002514.png,69 84 80 98
007501.png,100 30 111 41
002691.png,34 105 51 121
009530.png,77 26 90 40
002344.png,111 109 125 127
006834.png,22 86 34 97
005827.png,51 80 63 91
004298.png,31 77 41 87
002172.png,109 25 127 42
002047.png,51 85 63 97
003930.png,106 53 119 66
001478.png,49 35 64 50
003321.png,31 2 45 18
004400.png,27 112 38 124
003685.png,98 110 117 126
001704.png,7 59 19 73
005144.png,13 108 24 119
009826.png,95 18 109 34
007511.png,26 63 39 75
000273.png,11 2 27 18
006783.png,34 108 45 118
006619.png,18 49 28 60
009073.png,63 81 74 93
000097.png,32 103 49 124
005223.png,45 5 55 15
004920.png,18 52 29 64
000854.png,36 4 54 26
007886.png,45 95 57 106
001179.png,102 47 118 64
003152.png,35 39 46 51
007598.png,92 110 105 125
003982.png,19 79 29 89
004791.png,85 3 99 17
009428.png,54 20 67 32
007129.png,72 107 85 122
002051.png,0 89 21 110
007657.png,47 43 61 57
003239.png,19 66 36 81
005529.png,25 111 36 125
006922.png,106 77 124 95
008940.png,60 42 75 56
003426.png,64 87 79 104
000434.png,19 86 31 98
000595.png,113 94 123 104
009157.png,90 108 105 125
001592.png,85 1 102 19
007069.png,91 53 101 64
007097.png,112 108 124 120
006187.png,48 29 60 42
009659.png,35 103 49 122
003831.png,51 46 69 65
002590.png,54 58 73 75
000167.png,70 94 80 104
006656.png,5 88 15 98
000721.png,53 70 71 88
002301.png,8 6 29 26
007034.png,37 55 48 65
004372.png,73 16 85 29
009219.png,54 26 73 48
006000.png,73 20 86 31
008505.png,11 97 21 107
006673.png,83 29 96 41
008292.png,13 59 23 69
006042.png,113 5 123 15
008316.png,74 16 88 31
005061.png,103 31 124 47
004955.png,92 97 110 118
002696.png,62 75 80 89
008885.png,44 5 59 20
009388.png,72 98 85 110
009341.png,13 46 27 64
001177.png,73 51 93 66
006749.png,72 21 84 33
000873.png,20 112 33 124
000701.png,29 8 40 22
006870.png,112 14 124 25
002730.png,104 96 119 109
006984.png,58 42 73 57
004899.png,110 70 126 88
006522.png,4 13 16 25
009490.png,2 31 18 47
000620.png,98 95 114 108
008217.png,113 113 123 123
002023.png,5 21 15 31
006675.png,17 27 33 44
008411.png,99 4 109 16
002516.png,77 112 89 124
004953.png,1 18 19 37
005155.png,63 50 79 63
005383.png,77 106 91 119
002407.png,103 4 114 16
001736.png,33 5 44 15
007541.png,74 90 86 102
001562.png,51 101 62 112
004946.png,98 79 111 93
004089.png,40 108 56 125
009508.png,22 64 33 76
002104.png,100 47 117 65
000925.png,3 78 17 91
000785.png,43 104 59 117
009993.png,40 79 52 91;104 82 116 96;108 106 118 120
004254.png,5 55 15 66
002111.png,3 60 17 73
000999.png,32 81 42 91
009201.png,3 18 17 35
007737.png,2 89 18 107
000663.png,70 112 83 124
001875.png,9 62 19 73
005888.png,6 19 22 36
006556.png,36 47 56 66
005790.png,26 104 37 116
000472.png,88 22 98 32
000131.png,9 42 20 53
004031.png,112 31 124 42
006260.png,111 3 125 17
000139.png,28 111 42 124
003296.png,2 90 18 106
003169.png,112 4 124 16
007321.png,25 57 38 70
008243.png,21 113 32 123
001749.png,11 100 22 111
005532.png,47 26 61 38
000965.png,60 102 74 116
005665.png,85 7 100 21
008534.png,14 94 24 104
009594.png,19 36 36 54
006395.png,52 53 67 69
000234.png,4 15 18 29
000469.png,31 66 47 87
005844.png,45 42 55 53
002747.png,3 79 17 92
003611.png,99 12 116 26
000885.png,52 76 62 86
007496.png,42 112 55 124
003403.png,23 6 34 17
006180.png,40 18 54 31
009040.png,42 73 58 89
007148.png,106 113 116 123
007193.png,19 90 31 102
006191.png,3 97 17 115
004632.png,8 2 21 18
007109.png,22 9 40 24
000361.png,3 68 17 82
000633.png,5 23 15 33
003227.png,54 48 67 64
006840.png,112 87 124 99
001087.png,111 39 125 52
001031.png,74 11 86 24
006471.png,38 40 49 52
009142.png,73 5 90 21
008383.png,22 77 38 92
006057.png,57 15 67 25
009174.png,23 113 34 123
008369.png,16 55 26 65
005743.png,112 112 124 124
009472.png,42 73 58 92
002853.png,108 63 121 76
009553.png,103 2 119 18
004628.png,98 52 112 65
007576.png,3 57 17 72
000285.png,109 30 127 47
006448.png,96 100 107 111
003294.png,74 22 90 37
004598.png,25 48 35 58
009275.png,75 1 90 19
007215.png,112 74 124 85
007953.png,0 56 20 72
001761.png,29 37 44 53
003516.png,26 50 41 66
005890.png,81 5 91 15
005657.png,55 71 65 81
006694.png,3 80 17 95
004583.png,40 91 54 102
000463.png,17 33 31 47
001832.png,32 96 45 109
007540.png,69 44 84 58
006497.png,25 89 46 110
002863.png,67 3 81 17
000637.png,64 22 77 39
006801.png,14 60 27 73
001826.png,96 18 108 30
007145.png,38 62 54 77
000640.png,73 33 83 44
009992.png,93 36 107 54;81 48 93 58;71 88 81 96
003552.png,111 50 125 63
007217.png,21 67 35 81
002071.png,108 13 125 32
001665.png,104 92 114 102
002262.png,99 81 109 91
006989.png,13 110 28 126
003731.png,109 95 120 106
002377.png,108 95 128 111
006986.png,49 110 63 126
000555.png,52 44 66 55
006796.png,89 23 103 36
009628.png,3 14 17 28
003550.png,63 98 81 118
007009.png,53 48 65 61
001125.png,53 45 72 60
004063.png,110 91 126 105
006811.png,11 31 23 43
003125.png,103 21 119 37
000183.png,28 68 38 79
008698.png,33 112 45 124
005725.png,72 97 83 108
002187.png,31 86 45 99
001786.png,63 61 75 73
001069.png,109 104 123 116
009901.png,118 0 128 10;94 7 104 15;46 97 56 109
002417.png,59 111 75 125
003596.png,40 62 53 77
008352.png,74 87 85 98
009401.png,5 30 15 41
004243.png,32 113 42 123
006027.png,84 66 100 79
002387.png,74 48 89 61
009180.png,98 70 115 86
004259.png,47 72 59 85
006877.png,97 4 110 16
005362.png,61 76 75 89
002992.png,89 18 101 32
003062.png,2 22 18 36
004802.png,98 113 108 123
007080.png,10 52 28 70
007852.png,105 70 117 81
002528.png,111 69 125 81
003628.png,44 27 54 37
007374.png,83 19 98 39
000229.png,60 67 77 85
004357.png,37 17 48 29
009200.png,56 5 70 20
008904.png,18 91 33 105
009444.png,14 21 26 32
003099.png,77 85 88 96
002869.png,2 76 18 97
007004.png,4 45 16 57
009510.png,80 4 92 16
007127.png,34 5 50 18
007237.png,54 74 72 92
000379.png,68 2 85 18
005813.png,37 4 48 16
009635.png,7 54 19 65
004221.png,9 70 19 80
007861.png,85 112 97 124
007198.png,19 112 32 124
006856.png,100 50 118 65
007043.png,97 104 116 123
004692.png,1 50 20 66
000344.png,36 76 48 88
002118.png,45 80 55 90
006598.png,49 72 63 91
008760.png,103 24 119 38
003644.png,26 69 48 90
006488.png,15 85 29 99
007150.png,95 21 112 42
001514.png,77 100 91 115
004222.png,23 106 39 123
004464.png,79 66 90 77
008002.png,58 105 71 120
006615.png,33 34 52 53
008859.png,106 90 122 106
001495.png,13 40 34 57
009427.png,61 25 71 35
009861.png,86 112 98 124
009602.png,49 64 61 76
003859.png,33 42 48 58
004547.png,54 32 69 45
003965.png,2 90 18 109
004264.png,109 2 127 23
005866.png,17 67 31 82
007284.png,64 18 75 30
007125.png,108 10 128 32
001499.png,7 42 21 56
000690.png,3 12 17 26
008095.png,65 23 78 36
003557.png,82 19 93 29
008644.png,45 107 57 121
000126.png,58 10 77 24
007593.png,110 54 125 70
002008.png,4 14 22 32
000621.png,4 112 16 124
003201.png,2 21 18 37
003081.png,28 12 46 29
009188.png,86 20 97 31
003719.png,95 45 111 61
008111.png,7 4 24 21
008198.png,106 57 118 69
005405.png,87 56 103 70
004362.png,68 85 84 99
009636.png,103 106 114 118
006358.png,85 0 100 20
009730.png,70 113 80 123
003177.png,90 24 106 38
005363.png,1 1 19 19
002955.png,106 45 117 57
002000.png,39 78 49 89
006220.png,38 33 53 49
007117.png,55 22 73 37
000550.png,65 82 76 93
005126.png,5 13 15 24
001005.png,85 65 96 79
003093.png,106 85 120 96
006584.png,31 35 43 48
008801.png,6 99 17 110
007544.png,74 13 89 28
008934.png,9 50 27 68
005506.png,46 65 68 81
005628.png,30 60 42 74
006507.png,92 86 102 97
009263.png,97 49 115 64
002887.png,75 35 87 48
005108.png,11 3 23 17
002941.png,111 35 125 48
008559.png,17 5 27 15
009359.png,95 100 111 113
000258.png,75 3 88 17
006951.png,15 112 28 124
007681.png,36 64 51 79
000997.png,20 16 34 28
006007.png,37 40 51 52
001101.png,13 4 25 16
003449.png,8 112 19 123
008110.png,57 36 73 50
000724.png,26 45 39 58
000010.png,58 30 71 43
002784.png,103 10 116 23
008051.png,39 2 57 18
004973.png,59 19 71 30
001654.png,2 17 18 33
001448.png,112 45 124 59
003806.png,64 33 81 50
004340.png,33 102 45 113
003345.png,103 61 116 75
005147.png,95 16 111 29
001053.png,43 43 58 61
001693.png,64 75 80 88
009590.png,33 101 49 116
004142.png,60 54 75 69
003181.png,3 91 17 107
003123.png,29 106 47 123
003063.png,104 61 114 71
008263.png,55 93 67 105
004132.png,36 108 53 128
009430.png,17 73 32 86
005683.png,5 42 15 54
007468.png,17 2 32 18
004959.png,55 79 69 96
008029.png,38 70 50 85
004755.png,113 12 123 23
002762.png,113 20 123 31
008312.png,73 68 84 78
002688.png,32 32 47 48
003214.png,61 52 74 67
007649.png,1 39 19 58
003484.png,101 78 113 90
005280.png,26 42 39 58
007100.png,111 26 125 39
000719.png,8 92 21 105
005550.png,7 89 20 104
005868.png,3 83 23 103
007400.png,69 72 83 85
007149.png,89 105 104 124
004838.png,83 3 96 17
003064.png,100 49 114 63
007916.png,4 20 19 32
006313.png,30 8 45 23
005456.png,77 60 90 73
009049.png,113 85 123 96
005555.png,59 94 71 106
005412.png,112 9 124 21
008476.png,34 111 53 125
004639.png,7 84 24 104
001362.png,17 12 30 25
007909.png,95 78 113 97
007997.png,47 110 62 126
005982.png,5 105 15 115
004216.png,40 7 56 20
000305.png,7 10 21 24
002246.png,52 50 65 62
003913.png,18 48 39 68
009211.png,64 5 81 20
007617.png,46 94 63 109
003978.png,84 33 96 45
003707.png,109 102 127 120
004348.png,67 59 79 71
003156.png,73 85 83 95
007037.png,112 22 124 33
004494.png,12 46 25 61
001437.png,93 0 110 21
008228.png,109 10 127 29
000990.png,110 102 126 117
001379.png,99 105 113 121
002392.png,5 89 18 102
002161.png,74 98 84 108
006291.png,110 102 126 116
009870.png,19 47 33 61
001397.png,4 11 16 22
007058.png,19 108 32 122
000369.png,3 9 17 23
008488.png,100 81 118 98
006195.png,67 109 77 119
003312.png,91 2 109 18
003671.png,85 107 99 126
009738.png,4 111 16 125
009492.png,3 81 17 96
003420.png,88 86 98 96
005599.png,5 1 21 19
004845.png,102 59 114 70
009429.png,35 7 56 27
004511.png,3 96 17 114
002495.png,24 66 38 79
008339.png,5 53 19 68
007439.png,4 37 22 55
009889.png,98 82 110 94
008719.png,89 43 104 57
002179.png,54 73 72 86
004522.png,109 14 120 26
005287.png,62 35 72 46
009700.png,25 113 36 123
007407.png,110 113 120 123
009092.png,95 51 115 71
003675.png,50 88 63 100
008967.png,38 8 50 18
009110.png,50 91 64 105
003446.png,76 56 90 68
002695.png,45 5 60 19
001938.png,78 57 97 76
004413.png,20 90 30 101
003848.png,1 31 19 51
003356.png,18 93 32 106
006044.png,4 77 16 89
002940.png,4 24 16 36
006106.png,75 43 91 61
005029.png,109 3 127 17
005783.png,32 113 43 123
000868.png,107 109 125 124
001115.png,109 113 121 123
002828.png,43 74 55 88
007322.png,47 108 66 128
002541.png,6 102 21 119
007230.png,4 14 16 27
008733.png,26 95 42 107
000820.png,67 105 83 119
001107.png,2 47 18 67
007562.png,16 44 27 55
001138.png,35 113 46 123
004531.png,59 80 78 97
000476.png,21 18 37 32
008851.png,34 2 47 18
009967.png,111 0 123 7;43 19 55 29;60 104 68 114
004262.png,79 92 94 108
004257.png,25 95 38 111
005190.png,45 56 58 68
002913.png,112 52 124 63
005990.png,4 29 19 47
003786.png,38 27 56 45
008693.png,48 5 58 15
003782.png,109 27 119 37
006094.png,2 46 18 62
004852.png,108 92 124 108
007182.png,54 111 67 125
001804.png,113 84 123 96
008906.png,96 104 108 117
007007.png,5 52 20 67
002564.png,17 28 27 41
004100.png,2 33 18 54
008035.png,47 76 60 90
001546.png,3 101 17 119
000894.png,92 109 111 127
009792.png,41 83 55 98
009446.png,21 17 35 30
000451.png,66 96 78 107
005159.png,39 2 59 18
000567.png,80 15 97 34
009588.png,98 22 116 38
007618.png,5 51 15 61
009291.png,89 105 102 116
001361.png,105 38 121 55
002732.png,93 39 106 52
002554.png,47 3 62 17
009325.png,27 30 45 46
009970.png,0 73 7 83;74 106 84 116;94 112 104 122
002074.png,33 56 45 69
009627.png,68 42 78 52
009441.png,23 2 38 18
004809.png,108 56 126 70
008386.png,30 82 45 97
007983.png,69 8 83 22
007065.png,72 60 83 71
000279.png,52 85 68 106
002968.png,64 78 84 95
003010.png,33 86 50 101
007469.png,8 51 18 62
002273.png,98 24 108 34
008973.png,12 13 22 24
004081.png,88 83 107 100
003790.png,57 18 69 29
004122.png,2 108 18 122
007666.png,87 44 99 55
006661.png,3 13 17 26
005261.png,7 55 17 65
005133.png,4 97 21 115
000569.png,52 23 71 40
006853.png,93 5 105 16
005296.png,48 78 65 96
001774.png,37 17 50 31
003953.png,95 4 106 16
000810.png,112 113 124 123
004307.png,15 39 31 55
004694.png,51 90 61 100
005839.png,82 96 94 108
005378.png,7 90 17 100
004470.png,83 26 101 43
000435.png,16 11 30 25
008377.png,65 4 81 21
006966.png,4 56 16 69
002894.png,84 47 97 60
002203.png,54 108 74 128
009781.png,35 71 45 81
006788.png,100 38 113 51
008865.png,98 3 113 18
005172.png,76 1 94 19
001014.png,72 42 94 58
006946.png,28 108 44 128
004944.png,59 82 76 100
007761.png,98 7 113 22
001849.png,1 33 19 49
006385.png,111 110 125 126
002753.png,51 77 70 97
006614.png,4 99 16 111
002227.png,1 111 19 125
008604.png,58 69 71 82
000630.png,54 112 66 124
004512.png,28 24 39 34
008010.png,100 29 119 46
001594.png,65 78 76 90
000028.png,39 101 56 115
007775.png,74 74 91 93
002268.png,12 101 26 114
001970.png,68 29 82 43
000935.png,15 110 30 126
009813.png,31 4 44 16
006105.png,104 65 118 79
006124.png,100 15 121 30
005041.png,18 43 31 55
005303.png,73 20 85 31
007998.png,1 89 19 103
008543.png,58 74 72 88
009100.png,82 61 99 78
001859.png,111 38 125 50
000920.png,37 33 49 45
007922.png,44 66 57 80
006763.png,21 111 36 125
004919.png,64 59 82 76
008942.png,66 26 76 36
006428.png,97 5 107 15
005463.png,107 56 118 68
003414.png,108 54 127 71
004395.png,25 14 35 24
000536.png,46 27 62 43
001400.png,18 27 35 45
001230.png,109 36 119 46
008067.png,62 74 82 88
005337.png,51 100 64 115
009918.png,119 4 128 16;42 112 52 122;63 116 75 128
009574.png,28 72 43 87
002502.png,108 8 124 24
003190.png,18 44 32 56
009440.png,47 72 62 88
003725.png,3 20 17 34
009355.png,2 35 18 51
003879.png,102 110 115 122
009019.png,66 100 82 116
005589.png,51 7 65 23
006183.png,18 61 29 72
005252.png,110 23 126 40
006038.png,87 30 98 43
